104,105,105,121,121,121,121,121,71,246,246,246,246,246,246,246,247,17,21,246
104,104,105,121,104,105,121,121,121,87,246,246,246,246,246,246,2,3,4,248
104,120,121,121,120,121,120,120,121,120,71,246,246,246,247,17,18,19,20,249
120,121,105,121,121,121,121,121,121,120,121,211,246,246,2,3,4,5,250,251
104,105,105,32,33,34,35,36,37,104,105,225,247,17,18,19,20,249,252,253
104,105,105,48,49,50,51,52,53,104,104,71,2,3,4,5,250,251,246,246
104,104,105,64,65,66,67,68,69,120,104,104,16,19,20,249,252,253,246,246
120,120,121,80,81,82,83,84,85,104,105,120,104,16,250,251,246,246,246,246
104,105,105,96,97,98,99,100,101,104,104,120,104,104,1,253,246,246,246,246
120,104,121,105,113,114,115,116,117,120,120,121,104,104,104,71,246,246,246,246
104,121,105,120,104,121,105,104,104,105,104,104,105,105,120,104,211,246,246,246
10,11,12,25,121,121,105,120,120,104,120,120,121,105,120,6,241,246,246,246
27,28,29,41,10,11,12,15,121,105,120,121,120,121,103,228,245,246,246,246
133,133,133,57,26,27,28,31,104,105,120,104,119,181,228,245,246,246,246,246
200,201,202,203,200,201,202,199,105,105,120,6,228,197,244,246,246,246,246,246
216,217,218,219,216,217,218,215,121,121,103,228,245,246,246,246,246,246,246,246
232,233,234,235,232,233,234,231,176,181,228,245,246,246,246,246,246,246,246,246
246,246,246,246,246,246,246,246,192,197,244,246,246,246,246,246,246,246,246,246
